Nama,Jumlah Rating,Ulasan,Kategori,Alamat,Status,Operasional
BarbeRid,3,Mantap,Barber shop,"SMP Katolik Santa Familia Kupang, Sikumana, Maulafa",Aktif,
King Barber Shop,4,,Barber shop,"Jl. H.R. Koroh No.168, Sikumana, Maulafa",Aktif,Buka pukul 10.00 WITA
28_Barbershop_,4.9,Murah,Barber shop,"Jl. H.R. Koroh, RT.027/RW.011, Sikumana, Maulafa",Aktif,Buka pukul 10.00 WITA
Barbershop Batong-Batong,,,Corporate office,"Jl. H.R. Koroh, Sikumana, Maulafa",Aktif,
Goots Mini Barbershop,,,Hair salon,"Jl. Kesekrom No.4, RT.027/RW.010, Naikolan, Maulafa",Aktif,Buka 24 jam
The BARBER,,,Barber shop,"Jl. H.R. Koroh No.178, Sikumana, Maulafa",Aktif,
Barberbox zeroseven,5,Mantap,Barber shop,"Jl. Oe Ekam No.12, Sikumana, Maulafa",Aktif,
Gentle-Man Barbershop,3.8,Harga oke,Hair salon,"Jl. Fetor Funay, Maulafa",Aktif,Buka pukul 10.00 WITA
Pangkas Rambut Uyelewun Raya,5,Harga terjangkau,Hair salon,"Jl. H.R. Koroh, Sikumana, Maulafa",Aktif,Buka pukul 09.00 WITA
,,,,,,
Pangkas Rambut Socah,5,Sangat bagus,Hair salon,"Jl. H.R. Koroh No.Km.7, Sikumana, Maulafa",Aktif,
Pangkas Rambut Family,4,Hasil memuaskan,Hair salon,"Jl. H.R. Koroh No.148, Sikumana, Maulafa",Aktif,
Mone Miha Pangkas Rambut,5,Tukang cukurnya profesional,Barber shop,"Sikumana, Maulafa",Aktif,
Namone Pangkas,4.8,Lumayan,Hair salon,"Jl. Oebolifo I, Sikumana, Maulafa",Aktif,
FIO Pangkas,5,,Hair salon,"Jl. H.R. Koroh, Sikumana, Maulafa",Aktif,
Pangkas Rambut Nusa Indah,,,Barber shop,"Jl. H.R. Koroh, Sikumana, Maulafa",Aktif,
Pangkas Hooky,4.9,,Hair salon,"Jl. H.R. Koroh, Sikumana, Maulafa",Aktif,
Pangkas Rambut IPELMEN,4.5,Mantap,Night club,"Jl. Kramat, Tofa, Maulafa",Aktif,Buka pukul 17.00 WITA
Shenam HairCut,5,,Barber shop,"Jl. Nusa Indah No.3, Oepura, Maulafa",Aktif,
Pangkas Rambut Converse,5,,Barber supply store,"Jl. Oe Ekam No,13, Sikumana, Maulafa",Aktif,
Barber Shop One Love,5,,Hair salon,"Depan kantor Lurah Naikolan, Naikolan, Maulafa",Aktif,Buka 24 jam
J1 Barbershop,4.7,Pelayanan ramah,Barber shop,"Jl. Fetor Funay No.8, Kolhua, Maulafa",Aktif,Buka pukul 09.00 WITA
JW the Barber,4.6,Harga standar,Barber shop,"Jl. Kenari, Oepura, Maulafa",Aktif,Buka pukul 11.00 WITA
Pangkas Rambut ID 1114,3.9,Pelayanan baik,Hair salon,"Jl. H.R. Koroh No.130, Sikumana, Maulafa",Aktif,Buka pukul 09.00 WITA
